"code_commune","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","nb_points_geocodes_precis","latitude","longitude"
"01001","L'Abergement-Clémenciat","01",84,848595.9663636364,6562712.953636364,11,46.147927,4.925385
"01002","L'Abergement-de-Varey","01",84,,,0,,
"01004","Ambérieu-en-Bugey","01",84,881964.7690833329,6542682.674416662,840,45.959488,5.349797
"01005","Ambérieux-en-Dombes","01",84,847379.1643636368,6545991.320181818,55,45.99766,4.904401
"01006","Ambléon","01",84,,,0,,
"01007","Ambronay","01",84,882370.1817391303,6548205.551304348,23,46.00909,5.357158
"01008","Ambutrix","01",84,,,0,,
"01009","Andert-et-Condon","01",84,,,0,,
"01010","Anglefort","01",84,917351.9828571432,6538693.279285716,28,45.913184,5.804587
"01011","Apremont","01",84,905023.9074999997,6570876.983125,16,46.206662,5.659618
"01012","Aranc","01",84,893108.1700000002,6547250.183999999,5,45.997521,5.495468
"01013","Arandas","01",84,892926.97,6535870.74,2,45.895152,5.488495
"01014","Arbent","01",84,906141.992105263,6579609.787894737,19,46.284914,5.677951
"01015","Arboys en Bugey","01",84,,,0,,
"01016","Arbigny","01",84,850598.955,6598823.635,2,46.472551,4.962957
"01017","Argis","01",84,892981.23,6540145.02,1,45.933607,5.490933
"01019","Armix","01",84,,,0,,
"01021","Ars-sur-Formans","01",84,840825.7462857148,6545360.267714288,35,45.99337,4.819562
"01022","Artemare","01",84,908922.2342857142,6534153.0042857155,7,45.874966,5.693903
"01023","Asnières-sur-Saône","01",84,844755.32,6589046.67,1,46.385821,4.883779
"01024","Attignat","01",84,866341.5833333337,6578739.393030303,66,46.28806,5.160892
"01025","Bâgé-Dommartin","01",84,851392.2325,6583077.6325,4,46.33063,4.968178
"01026","Bâgé-le-Châtel","01",84,848374.3576923076,6580789.348461539,13,46.310701,4.928233
"01027","Balan","01",84,864720.07,6529969.4,1,45.849449,5.122809
"01028","Baneins","01",84,846904.94,6558393.39,1,46.10941,4.902135
"01029","Beaupont","01",84,873257.495,6594375.36,4,46.42706,5.256489
"01030","Beauregard","01",84,835642.2600000001,6546098.169999999,3,46.001069,4.752822
"01031","Bellignat","01",84,902828.1725757581,6575450.750606059,66,46.248487,5.633133
"01032","Béligneux","01",84,865136.18862069,6530353.608275862,29,45.852807,5.128303
