"code_commune","annee_etablissement","nb_dpe","nb_passoires","nb_logements_performants","nb_etiquette_a","nb_etiquette_b","nb_etiquette_c","nb_etiquette_d","nb_etiquette_e","nb_etiquette_f","nb_etiquette_g","conso_ep_moyenne","conso_ep_mediane","emission_ges_moyenne","surface_moyenne_m2","cout_annuel_moyen_eur","taux_passoires_pct","taux_performants_pct","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","latitude","longitude"
"01001",2024,18,1,1,1,0,5,6,5,1,0,207.8,193.4,27.8,110.7,2278,5.56,5.56,"L'Abergement-Clémenciat","01",84,848595.9663636364,6562712.953636364,46.147927,4.925385
"01001",2025,27,3,6,2,4,5,10,3,2,1,191.2,177.2,24.4,113.2,2512,11.11,22.22,"L'Abergement-Clémenciat","01",84,848595.9663636364,6562712.953636364,46.147927,4.925385
"01001",2026,5,1,1,0,1,1,1,1,1,0,213,196,20.8,178.5,3550,20,20,"L'Abergement-Clémenciat","01",84,848595.9663636364,6562712.953636364,46.147927,4.925385
"01002",2024,3,1,0,0,0,0,0,2,1,0,342.3,329.9,57,214.2,7003,33.33,0,"L'Abergement-de-Varey","01",84,,,,
"01002",2025,4,1,0,0,0,0,2,1,1,0,266,265.8,39.8,87.2,2842,25,0,"L'Abergement-de-Varey","01",84,,,,
"01002",2026,5,1,0,0,0,3,0,1,1,0,221.2,177,32.7,143.7,2870,20,0,"L'Abergement-de-Varey","01",84,,,,
"01004",2024,759,42,26,5,21,456,169,66,23,19,168.2,145.3,22.9,73.6,1206,5.53,3.43,"Ambérieu-en-Bugey","01",84,881962.8512363633,6542681.395987875,45.959477,5.349772
"01004",2025,669,82,25,9,16,242,223,97,59,23,204.9,190.5,26.2,73.2,1638,12.26,3.74,"Ambérieu-en-Bugey","01",84,881962.8512363633,6542681.395987875,45.959477,5.349772
"01004",2026,395,36,21,7,14,172,85,81,20,16,205,174,30.9,74.3,1675,9.11,5.32,"Ambérieu-en-Bugey","01",84,881962.8512363633,6542681.395987875,45.959477,5.349772
"01005",2024,124,4,28,11,17,81,8,3,2,2,106.1,79.9,13.3,77.9,1011,3.23,22.58,"Ambérieux-en-Dombes","01",84,847379.1643636368,6545991.320181818,45.99766,4.904401
"01005",2025,48,2,10,5,5,16,18,2,1,1,164.6,147.3,12.4,105.1,1848,4.17,20.83,"Ambérieux-en-Dombes","01",84,847379.1643636368,6545991.320181818,45.99766,4.904401
"01005",2026,28,3,9,3,6,7,6,3,1,2,171.9,144.5,19.6,102.1,2228,10.71,32.14,"Ambérieux-en-Dombes","01",84,847379.1643636368,6545991.320181818,45.99766,4.904401
"01006",2024,6,2,0,0,0,0,2,2,0,2,303.8,239.1,44.2,100.5,2916,33.33,0,"Ambléon","01",84,,,,
"01006",2025,5,1,2,0,2,1,1,0,1,0,197,168,30,163.4,3375,20,40,"Ambléon","01",84,,,,
"01006",2026,3,1,0,0,0,0,1,1,1,0,226,194,61,150.4,4231,33.33,0,"Ambléon","01",84,,,,
"01007",2024,75,11,7,0,7,23,27,7,4,7,205.1,185.8,25.6,94.4,1878,14.67,9.33,"Ambronay","01",84,882465.212105263,6548157.594210527,46.008633,5.358367
"01007",2025,67,6,8,5,3,23,20,10,5,1,189,177,21.3,106.6,2368,8.96,11.94,"Ambronay","01",84,882465.212105263,6548157.594210527,46.008633,5.358367
"01007",2026,29,0,4,2,2,3,18,4,0,0,187.2,198,25,98.3,1872,0,13.79,"Ambronay","01",84,882465.212105263,6548157.594210527,46.008633,5.358367
"01008",2024,30,3,0,0,0,16,6,5,3,0,197.1,168.1,25.8,77.6,1518,10,0,"Ambutrix","01",84,,,,
"01008",2025,6,2,0,0,0,1,2,1,1,1,275.3,245.9,28.2,87.4,2448,33.33,0,"Ambutrix","01",84,,,,
"01008",2026,10,1,0,0,0,3,3,3,1,0,224.7,218.5,17.7,95.7,2186,10,0,"Ambutrix","01",84,,,,
"01009",2024,10,0,2,1,1,0,3,5,0,0,225.7,232.6,32.6,118.7,2150,0,20,"Andert-et-Condon","01",84,,,,
"01009",2025,5,0,0,0,0,2,3,0,0,0,168.6,149,13.6,133.7,2459,0,0,"Andert-et-Condon","01",84,,,,
"01009",2026,5,0,1,0,1,1,1,2,0,0,195.6,182,11.2,137.2,2603,0,20,"Andert-et-Condon","01",84,,,,
"01010",2024,65,7,2,2,0,20,30,6,6,1,191.6,165.5,25.3,89.3,1663,10.77,3.08,"Anglefort","01",84,917351.9828571428,6538693.279285714,45.913184,5.804587
"01010",2025,17,3,2,0,2,5,4,3,3,0,218.9,186.3,15.1,102.1,2319,17.65,11.76,"Anglefort","01",84,917351.9828571428,6538693.279285714,45.913184,5.804587
"01010",2026,21,5,5,3,2,2,3,6,1,4,258,239,23.3,110.4,2859,23.81,23.81,"Anglefort","01",84,917351.9828571428,6538693.279285714,45.913184,5.804587
"01011",2024,22,1,1,1,0,9,8,3,0,1,174,133.2,35.3,76.6,1742,4.55,4.55,"Apremont","01",84,905023.9074999997,6570876.983125,46.206662,5.659618
"01011",2025,5,1,0,0,0,4,0,0,0,1,221.7,152,20,98.9,2766,20,0,"Apremont","01",84,905023.9074999997,6570876.983125,46.206662,5.659618
"01012",2024,10,2,0,0,0,0,5,3,0,2,316.2,249.7,20.4,87.7,2351,20,0,"Aranc","01",84,893108.1700000002,6547250.183999999,45.997521,5.495468
"01012",2025,10,8,0,0,0,0,2,0,1,7,426.6,426.8,79.7,110.5,4890,80,0,"Aranc","01",84,893108.1700000002,6547250.183999999,45.997521,5.495468
"01012",2026,1,1,0,0,0,0,0,0,1,0,493,493,20,127,6675,100,0,"Aranc","01",84,893108.1700000002,6547250.183999999,45.997521,5.495468
"01013",2024,3,1,0,0,0,0,2,0,0,1,304.8,210.7,22.7,68.5,2108,33.33,0,"Arandas","01",84,892926.97,6535870.74,45.895152,5.488495
"01013",2025,5,2,0,0,0,1,2,0,1,1,263.9,171.3,23.4,80.2,2164,40,0,"Arandas","01",84,892926.97,6535870.74,45.895152,5.488495
"01013",2026,1,0,0,0,0,0,0,1,0,0,312,312,10,72.3,1495,0,0,"Arandas","01",84,892926.97,6535870.74,45.895152,5.488495
"01014",2024,80,13,3,2,1,31,18,15,5,8,220.3,183,37.3,91.9,1877,16.25,3.75,"Arbent","01",84,906141.9921052633,6579609.787894735,46.284914,5.677951
"01014",2025,67,16,5,2,3,16,22,8,13,3,232.9,207.1,41.8,83.8,2132,23.88,7.46,"Arbent","01",84,906141.9921052633,6579609.787894735,46.284914,5.677951
"01014",2026,57,5,4,0,4,15,21,12,2,3,208.6,200,32.4,79.1,1801,8.77,7.02,"Arbent","01",84,906141.9921052633,6579609.787894735,46.284914,5.677951
"01015",2024,14,4,0,0,0,6,2,2,3,1,258.6,215.8,27.7,106.6,2411,28.57,0,"Arboys en Bugey","01",84,,,,
"01015",2025,19,6,2,1,1,4,3,4,4,2,249.7,250.1,20.5,126.9,3074,31.58,10.53,"Arboys en Bugey","01",84,,,,
"01015",2026,8,2,2,1,1,1,1,2,1,1,226,236,32.7,125.3,3389,25,25,"Arboys en Bugey","01",84,,,,
"01016",2024,7,1,0,0,0,2,2,2,1,0,224,217.2,19.7,117.4,1983,14.29,0,"Arbigny","01",84,850598.955,6598823.635,46.472551,4.962957
"01016",2025,9,0,3,2,1,4,2,0,0,0,120.1,124.3,4,127.1,1580,0,33.33,"Arbigny","01",84,850598.955,6598823.635,46.472551,4.962957
"01016",2026,8,0,1,0,1,3,4,0,0,0,161.2,178.5,10.9,107.5,1857,0,12.5,"Arbigny","01",84,850598.955,6598823.635,46.472551,4.962957
"01017",2024,10,4,0,0,0,1,2,3,2,2,325.5,299,23,112,2831,40,0,"Argis","01",84,892981.23,6540145.02,45.933607,5.490933
"01017",2025,11,3,1,0,1,1,0,6,2,1,292.8,290.2,27,88.7,2751,27.27,9.09,"Argis","01",84,892981.23,6540145.02,45.933607,5.490933
"01017",2026,6,4,0,0,0,0,1,1,1,3,428.8,436,105,107,4929,66.67,0,"Argis","01",84,892981.23,6540145.02,45.933607,5.490933
"01019",2024,2,1,0,0,0,0,0,1,1,0,313.2,313.2,39,80.9,2110,50,0,"Armix","01",84,,,,
"01021",2024,37,1,2,2,0,16,14,4,1,0,173.1,172.4,21,87,1439,2.7,5.41,"Ars-sur-Formans","01",84,840825.7462857148,6545360.267714287,45.99337,4.819562
"01021",2025,60,2,5,3,2,20,25,8,2,0,171.1,160.7,24.4,82,1529,3.33,8.33,"Ars-sur-Formans","01",84,840825.7462857148,6545360.267714287,45.99337,4.819562
"01021",2026,15,0,2,0,2,4,4,5,0,0,201,236,12.8,109.1,2438,0,13.33,"Ars-sur-Formans","01",84,840825.7462857148,6545360.267714287,45.99337,4.819562
"01022",2024,49,7,4,0,4,5,9,24,4,3,238.1,251.6,39.3,93.4,2415,14.29,8.16,"Artemare","01",84,908922.2342857142,6534153.0042857155,45.874966,5.693903
"01022",2025,26,5,1,0,1,9,10,1,2,3,238.1,190,20.9,98,2427,19.23,3.85,"Artemare","01",84,908922.2342857142,6534153.0042857155,45.874966,5.693903
"01022",2026,22,2,0,0,0,7,11,2,1,1,203,186.7,20.4,73.1,1944,9.09,0,"Artemare","01",84,908922.2342857142,6534153.0042857155,45.874966,5.693903
"01023",2024,1,0,1,0,1,0,0,0,0,0,81.9,81.9,3.2,133.5,1000,0,100,"Asnières-sur-Saône","01",84,844755.32,6589046.67,46.385821,4.883779
"01023",2025,5,3,0,0,0,1,1,0,1,2,346.4,349,19.9,105.7,2819,60,0,"Asnières-sur-Saône","01",84,844755.32,6589046.67,46.385821,4.883779
"01024",2024,147,9,3,1,2,107,21,7,5,4,151,120.2,22.9,85.3,1356,6.12,2.04,"Attignat","01",84,866341.5833333337,6578739.3930303035,46.28806,5.160892
"01024",2025,73,6,5,2,3,31,21,10,4,2,186.9,182.2,18.2,98.6,2122,8.22,6.85,"Attignat","01",84,866341.5833333337,6578739.3930303035,46.28806,5.160892
"01024",2026,36,7,2,2,0,11,9,7,3,4,236.9,213.5,21.3,109.7,2389,19.44,5.56,"Attignat","01",84,866341.5833333337,6578739.3930303035,46.28806,5.160892
"01025",2024,46,9,3,2,1,14,13,7,5,4,214.8,185,33.6,120.1,2503,19.57,6.52,"Bâgé-Dommartin","01",84,851392.2325,6583077.6325,46.33063,4.968178
"01025",2025,35,4,4,1,3,15,10,2,1,3,200.4,178.5,14.1,117.3,2276,11.43,11.43,"Bâgé-Dommartin","01",84,851392.2325,6583077.6325,46.33063,4.968178
"01025",2026,31,6,5,2,3,5,9,6,5,1,211.3,188,21.9,115.8,2961,19.35,16.13,"Bâgé-Dommartin","01",84,851392.2325,6583077.6325,46.33063,4.968178
"01026",2024,37,3,2,0,2,15,9,8,2,1,192.2,186.9,22.1,84.8,1791,8.11,5.41,"Bâgé-le-Châtel","01",84,848374.3576923076,6580789.348461539,46.310701,4.928233
"01026",2025,30,4,5,3,2,6,9,6,4,0,201.5,212.3,26.6,105.6,2286,13.33,16.67,"Bâgé-le-Châtel","01",84,848374.3576923076,6580789.348461539,46.310701,4.928233
"01026",2026,16,1,1,0,1,7,7,0,1,0,167.7,159,17.3,107.8,2156,6.25,6.25,"Bâgé-le-Châtel","01",84,848374.3576923076,6580789.348461539,46.310701,4.928233
"01027",2024,44,2,11,4,7,10,12,9,0,2,184.4,162.5,10.7,97.8,1605,4.55,25,"Balan","01",84,864720.07,6529969.4,45.849449,5.122809
"01027",2025,30,4,3,0,3,9,13,1,2,2,211.3,197.7,14.3,96.7,2110,13.33,10,"Balan","01",84,864720.07,6529969.4,45.849449,5.122809
"01027",2026,25,2,3,1,2,14,5,1,1,1,169,138,25.8,90.4,1799,8,12,"Balan","01",84,864720.07,6529969.4,45.849449,5.122809
"01028",2024,13,2,3,1,2,0,4,4,2,0,201.5,212.2,29.1,103.6,2113,15.38,23.08,"Baneins","01",84,846904.94,6558393.39,46.10941,4.902135
"01028",2025,13,0,3,2,1,2,5,3,0,0,183.5,194.8,25.7,145.6,3051,0,23.08,"Baneins","01",84,846904.94,6558393.39,46.10941,4.902135
"01028",2026,8,2,2,0,2,1,2,1,0,2,233.6,190.5,4.3,128.2,2891,25,25,"Baneins","01",84,846904.94,6558393.39,46.10941,4.902135
"01029",2024,14,2,0,0,0,2,5,5,1,1,250,249.6,12.4,93.8,1991,14.29,0,"Beaupont","01",84,873257.495,6594375.36,46.42706,5.256489
"01029",2025,10,1,2,2,0,4,2,1,1,0,173.7,158.2,5.8,88.8,1554,10,20,"Beaupont","01",84,873257.495,6594375.36,46.42706,5.256489
"01029",2026,9,1,1,0,1,3,4,0,0,1,223.6,196.6,10.5,137.3,3144,11.11,11.11,"Beaupont","01",84,873257.495,6594375.36,46.42706,5.256489
"01030",2024,27,6,3,0,3,6,8,4,5,1,227.9,216,27.5,87.5,1924,22.22,11.11,"Beauregard","01",84,835642.2600000001,6546098.169999999,46.001069,4.752822
"01030",2025,43,3,3,3,0,13,20,4,2,1,186.6,186.9,23.5,83.2,1737,6.98,6.98,"Beauregard","01",84,835642.2600000001,6546098.169999999,46.001069,4.752822
"01030",2026,25,0,2,0,2,9,10,4,0,0,181.7,172,21.8,71,1310,0,8,"Beauregard","01",84,835642.2600000001,6546098.169999999,46.001069,4.752822
"01031",2024,321,3,39,0,39,217,48,14,0,3,145.1,129.6,15.7,64.6,931,0.93,12.15,"Bellignat","01",84,902825.1136923082,6575439.872769229,46.24839,5.633089
"01031",2025,84,4,7,0,7,37,27,9,1,3,180.6,159.7,18.1,71.9,1451,4.76,8.33,"Bellignat","01",84,902825.1136923082,6575439.872769229,46.24839,5.633089
"01031",2026,71,4,15,0,15,42,8,2,2,2,147.8,116,12.7,76.1,1257,5.63,21.13,"Bellignat","01",84,902825.1136923082,6575439.872769229,46.24839,5.633089
"01032",2024,147,2,4,3,1,51,80,10,2,0,163.7,162.5,26.4,87.9,1575,1.36,2.72,"Béligneux","01",84,865136.18862069,6530353.6082758615,45.852807,5.128303
"01032",2025,68,4,12,8,4,33,17,2,4,0,152.8,143.8,19.3,109.5,1750,5.88,17.65,"Béligneux","01",84,865136.18862069,6530353.6082758615,45.852807,5.128303
"01032",2026,101,1,11,7,4,81,5,3,1,0,125.2,117,13.5,85.8,1107,0.99,10.89,"Béligneux","01",84,865136.18862069,6530353.6082758615,45.852807,5.128303
"01033",2024,968,55,28,6,22,496,264,125,33,22,179,169.9,22.5,70.5,1268,5.68,2.89,"Valserhône","01",84,917364.4681949443,6561047.860108284,46.114354,5.815027
"01033",2025,704,59,33,14,19,296,204,112,31,28,194.9,179.8,22.5,76.6,1655,8.38,4.69,"Valserhône","01",84,917364.4681949443,6561047.860108284,46.114354,5.815027
"01033",2026,585,74,37,11,26,114,249,111,55,19,224.5,223,36.9,70.4,1646,12.65,6.32,"Valserhône","01",84,917364.4681949443,6561047.860108284,46.114354,5.815027
"01034",2024,538,23,150,4,146,229,89,47,19,4,152.5,133.7,15.7,70.3,1044,4.28,27.88,"Belley","01",84,908739.6354838706,6520977.169175635,45.756444,5.685774
"01034",2025,334,24,19,11,8,120,123,48,17,7,197.4,182.9,23,80.5,1744,7.19,5.69,"Belley","01",84,908739.6354838706,6520977.169175635,45.756444,5.685774
"01034",2026,227,19,15,3,12,102,74,17,16,3,193.7,176,19.6,74.4,1580,8.37,6.61,"Belley","01",84,908739.6354838706,6520977.169175635,45.756444,5.685774
"01035",2024,8,3,0,0,0,0,3,2,2,1,336,335.9,29.8,116.8,3063,37.5,0,"Belleydoux","01",84,913955.3116666666,6576347.308333333,46.253124,5.77788
"01035",2025,8,1,0,0,0,1,2,4,0,1,240,221,36.2,87.1,2355,12.5,0,"Belleydoux","01",84,913955.3116666666,6576347.308333333,46.253124,5.77788
"01035",2026,8,1,1,0,1,0,1,5,1,0,247,277.5,48.9,129.8,3877,12.5,12.5,"Belleydoux","01",84,913955.3116666666,6576347.308333333,46.253124,5.77788
"01036",2024,58,17,0,0,0,9,22,10,10,7,268.4,225.9,25.5,107.7,2688,29.31,0,"Valromey-sur-Séran","01",84,906688.1314285713,6534188.34904762,45.875967,5.665133
"01036",2025,28,11,2,0,2,3,9,3,5,6,307.2,244.6,18.1,141.8,3322,39.29,7.14,"Valromey-sur-Séran","01",84,906688.1314285713,6534188.34904762,45.875967,5.665133
"01036",2026,20,7,4,2,2,1,4,4,3,4,263.3,256.5,27.9,115.9,3218,35,20,"Valromey-sur-Séran","01",84,906688.1314285713,6534188.34904762,45.875967,5.665133
"01037",2024,8,5,0,0,0,0,2,1,4,1,306.7,315,23.5,90.9,2313,62.5,0,"Bénonces","01",84,,,,
"01037",2025,2,1,0,0,0,0,0,1,0,1,351.4,351.4,13.5,120.1,4323,50,0,"Bénonces","01",84,,,,
"01037",2026,3,0,0,0,0,0,1,2,0,0,274,280,,113.2,3056,0,0,"Bénonces","01",84,,,,
"01038",2024,9,1,1,1,0,2,3,2,1,0,209.9,196.1,13.6,123.3,1988,11.11,11.11,"Bény","01",84,875831.9236363637,6582567.125454545,46.320108,5.28555
"01038",2025,23,1,5,1,4,9,8,0,1,0,158.4,161.9,8.4,85.3,1417,4.35,21.74,"Bény","01",84,875831.9236363637,6582567.125454545,46.320108,5.28555
"01038",2026,11,1,2,1,1,5,2,1,1,0,184.1,141.3,11.7,114.5,2279,9.09,18.18,"Bény","01",84,875831.9236363637,6582567.125454545,46.320108,5.28555
"01040",2024,10,3,0,0,0,3,0,4,3,0,241.9,258.2,45.8,147.7,3612,30,0,"Béréziat","01",84,857215.89,6587425.150000001,46.368433,5.045319
"01040",2025,17,2,1,0,1,4,4,6,1,1,241.2,248,17,114,2521,11.76,5.88,"Béréziat","01",84,857215.89,6587425.150000001,46.368433,5.045319
"01040",2026,3,0,1,0,1,0,2,0,0,0,135,135,7,150,2384,0,33.33,"Béréziat","01",84,857215.89,6587425.150000001,46.368433,5.045319
"01041",2024,23,3,0,0,0,5,9,6,0,3,248.7,226.1,24.1,86.3,1919,13.04,0,"Bettant","01",84,883165.4666666668,6540837.536666666,45.942557,5.36458
"01041",2025,28,8,0,0,0,2,7,11,6,2,278.5,270.8,37.5,106.3,3053,28.57,0,"Bettant","01",84,883165.4666666668,6540837.536666666,45.942557,5.36458
"01041",2026,50,6,0,0,0,6,34,4,3,3,239.1,221.5,19.1,86.3,2293,12,0,"Bettant","01",84,883165.4666666668,6540837.536666666,45.942557,5.36458
