type_batiment,tranche_age_batiment,periode_construction,ordre_periode,nb_dpe,nb_passoires,nb_logements_performants,taux_passoires_pct,taux_performants_pct,conso_ep_moyenne,emission_ges_moyenne,surface_moyenne_m2,cout_annuel_moyen_eur,cout_annuel_par_m2_eur
appartement,1948-1974,1948-1974,2,1177057,66473,55194,5.65,4.69,193.7,29.7,61.0,1137,18.6
appartement,1975-1988,1975-1988,3,496916,8429,29419,1.70,5.92,171.1,20.4,62.7,1084,17.3
appartement,1989-2000,1989-2000,4,352330,1433,13066,0.41,3.71,162.7,16.8,56.8,973,17.1
appartement,2001-2012,2001-2012,5,359617,513,27752,0.14,7.72,141.5,14.9,56.9,872,15.3
appartement,2013 et apres,2013 et après,6,411843,61,93338,0.01,22.66,99.2,14.8,55.5,599,10.8
appartement,avant 1948,avant 1948,1,343003,50445,8798,14.71,2.56,250.6,30.1,51.4,1289,25.1
appartement,inconnue,Période inconnue,99,2461956,220144,143415,8.94,5.83,209.1,23.5,55.2,1157,21.0
maison,1948-1974,1948-1974,2,307995,73721,13560,23.94,4.40,250.4,39.3,108.4,2755,25.4
maison,1975-1988,1975-1988,3,211232,9936,12524,4.70,5.93,200.6,20.4,108.5,2177,20.1
maison,1989-2000,1989-2000,4,135629,1194,10458,0.88,7.71,170.9,18.2,105.4,1814,17.2
maison,2001-2012,2001-2012,5,178051,260,25051,0.15,14.07,145.8,13.6,105.8,1573,14.9
maison,2013 et apres,2013 et après,6,110824,28,66946,0.03,60.41,79.9,7.4,102.4,913,8.9
maison,avant 1948,avant 1948,1,184962,41679,7613,22.53,4.12,248.4,34.0,112.0,2737,24.4
maison,inconnue,Période inconnue,99,1272772,222582,101866,17.49,8.00,227.3,28.6,110.0,2484,22.6
